original_url,source_website,resolution,search_query,local_path,short_caption
https://sgtvt.hochiminhcity.gov.vn/Tin-tuc/Chi-tiet-bai-viet/moduleId/2002/controller/TinTuc/action/Image?filePath=/NOIDUNG/2024/1/29/NOIDUNG_04175964.jpg,Sở Giao Thông Vận Tải,730x458,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_a97d1ae6.jpg,
https://cdn-images.vtv.vn/thumb_w/640/2017/dsc-0165-1488901417284.jpg,VTV.vn,640x424,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_c2c7549d.jpg,
https://btnmt.1cdn.vn/2023/08/29/goc-anh-3.jpg,Báo Tài nguyên và Môi trường,1280x960,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_a749d8f5.jpg,
https://storage-vnportal.vnpt.vn/ndh-ubnd/6027/Anh%20bai%20viet%20web/untitled-1_20241125082730.png,Tỉnh ủy Nam Định,960x540,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_df8efb7f.png,
https://images.kienthuc.net.vn/zoomh/800/uploaded/nguyenanhson/2024_12_31/4/tien-dao-nguyen-xuan-son-he-lo-mon-an-via-he-beo-ngay.png,tracuuquyhoach.com,600x800,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_f5e1bffa.png,
https://image.baophapluat.vn/w840/Uploaded/2024/athlraqhpghat/2022_11_11/minh-hoa-8604.jpg,Báo Pháp luật Việt Nam điện tử,840x504,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_04c1176a.jpg,
https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2023/2/13/1147283/DSC08800-01.jpg,Tổng Liên đoàn Lao động Việt Nam,1960x1306,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_ebb29706.jpg,
https://img.lsvn.vn/vne-news/June2023/A%203.jpg,lsvn.vn,1800x1007,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_893e8d81.jpg,
https://thainguyen.gov.vn/image/journal/article?img_id=6290199&t=1734774692534,UBND tỉnh Thái Nguyên,680x435,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_e7813cd3.jpg,
https://cafebiz.cafebizcdn.vn/162123310254002176/2023/6/14/ratio3x21200-2-16866483321411678413894-1686705508358-16867055089781352401677.jpg,CafeBiz,1200x800,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_ec544894.jpg,
